candidate_id,rank,score,reasoning
CAND_0046525,11,156.5186,Senior Machine Learning Engineer. Strong semantic fit (0.60) to retrieval/ranking systems; Ideal 6.1 YoE in applied ML; High Hunt-Mode momentum.
CAND_0092706,12,156.1590,AI Research Engineer. Strong semantic fit (0.63) to retrieval/ranking systems; Ideal 5.8 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0073314,13,153.3694,Senior Software Engineer (ML). Strong semantic fit (0.48) to retrieval/ranking systems; Ideal 5.2 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0054546,14,152.0072,AI Research Engineer. Strong semantic fit (0.53) to retrieval/ranking systems; 4.9 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0076163,15,151.9761,NLP Engineer. Strong semantic fit (0.62) to retrieval/ranking systems; Ideal 6.9 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0000031,16,151.2964,Recommendation Systems Engineer. Strong semantic fit (0.64) to retrieval/ranking systems; Ideal 6.0 YoE in applied ML; High Hunt-Mode momentum.
CAND_0052431,17,150.9933,ML Engineer. Strong semantic fit (0.56) to retrieval/ranking systems; Ideal 5.3 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0041669,18,150.2059,Recommendation Systems Engineer. Strong semantic fit (0.68) to retrieval/ranking systems; Ideal 8.0 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0090155,19,149.5871,ML Engineer. Strong semantic fit (0.60) to retrieval/ranking systems; Ideal 5.8 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0052328,20,149.5069,Recommendation Systems Engineer. Strong semantic fit (0.66) to retrieval/ranking systems; Ideal 6.5 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0096142,21,148.7740,Applied ML Engineer. Strong semantic fit (0.60) to retrieval/ranking systems; Ideal 5.0 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0073883,22,148.3084,AI Specialist. Strong semantic fit (0.51) to retrieval/ranking systems; Ideal 5.3 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0053605,23,147.0420,Senior Software Engineer (ML). Strong semantic fit (0.54) to retrieval/ranking systems; Ideal 6.9 YoE in applied ML; High Hunt-Mode momentum.
CAND_0088025,24,146.7064,Staff Machine Learning Engineer. Strong semantic fit (0.60) to retrieval/ranking systems; Ideal 8.6 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0072688,25,146.1970,Data Scientist. Strong semantic fit (0.54) to retrieval/ranking systems; Ideal 6.9 YoE in applied ML; High Hunt-Mode momentum.
CAND_0011687,26,145.8590,Senior NLP Engineer. Strong semantic fit (0.56) to retrieval/ranking systems; Ideal 7.8 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0046132,27,144.2044,AI Research Engineer. Strong semantic fit (0.58) to retrieval/ranking systems; 4.3 YoE; High Hunt-Mode momentum.
CAND_0061265,28,144.1453,Recommendation Systems Engineer. Strong semantic fit (0.67) to retrieval/ranking systems; Ideal 6.6 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0024549,29,143.7008,AI Specialist. Strong semantic fit (0.57) to retrieval/ranking systems; Ideal 5.2 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0073007,30,143.6760,AI Specialist. Strong semantic fit (0.58) to retrieval/ranking systems; Ideal 5.8 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0036184,31,143.5316,Recommendation Systems Engineer. Strong semantic fit (0.65) to retrieval/ranking systems; Ideal 6.0 YoE in applied ML; High Hunt-Mode momentum.
CAND_0074225,32,143.3679,Machine Learning Engineer. Strong semantic fit (0.59) to retrieval/ranking systems; 4.3 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0031752,33,143.2285,ML Engineer. Strong semantic fit (0.59) to retrieval/ranking systems; Ideal 5.0 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0061655,34,143.0752,Machine Learning Engineer. Strong semantic fit (0.65) to retrieval/ranking systems; 4.6 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0030031,35,142.3406,AI Engineer. Strong semantic fit (0.62) to retrieval/ranking systems; Ideal 5.7 YoE in applied ML; High Hunt-Mode momentum.
CAND_0014909,36,142.0755,Computer Vision Engineer. Strong semantic fit (0.57) to retrieval/ranking systems; 4.8 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0090300,37,141.2855,AI Research Engineer. Strong semantic fit (0.57) to retrieval/ranking systems; Ideal 5.3 YoE in applied ML; High Hunt-Mode momentum.
CAND_0079064,38,140.7251,Senior Data Scientist. Strong semantic fit (0.65) to retrieval/ranking systems; Ideal 5.2 YoE in applied ML; High Hunt-Mode momentum.
CAND_0026942,39,140.6293,Junior ML Engineer. Strong semantic fit (0.51) to retrieval/ranking systems; Ideal 6.0 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0018499,40,140.6190,Senior Machine Learning Engineer. Strong semantic fit (0.57) to retrieval/ranking systems; Ideal 7.2 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0006418,41,140.5648,Machine Learning Engineer. Strong semantic fit (0.61) to retrieval/ranking systems; Ideal 5.7 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0028527,42,140.3057,AI Specialist. Strong semantic fit (0.59) to retrieval/ranking systems; Ideal 5.4 YoE in applied ML; High Hunt-Mode momentum.
CAND_0009691,43,140.2201,Applied ML Engineer. Strong semantic fit (0.64) to retrieval/ranking systems; Ideal 6.2 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0033179,44,140.0208,AI Research Engineer. Strong semantic fit (0.62) to retrieval/ranking systems; Ideal 6.9 YoE in applied ML; High Hunt-Mode momentum.
CAND_0093763,45,139.9890,Senior Software Engineer (ML). Strong semantic fit (0.47) to retrieval/ranking systems; Ideal 5.0 YoE in applied ML; High Hunt-Mode momentum.
CAND_0054123,46,139.7772,Applied ML Engineer. Strong semantic fit (0.64) to retrieval/ranking systems; 4.7 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0053591,47,139.7614,AI Engineer. Strong semantic fit (0.57) to retrieval/ranking systems; Ideal 5.3 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0014440,48,139.2369,Recommendation Systems Engineer. Strong semantic fit (0.69) to retrieval/ranking systems; Ideal 6.4 YoE in applied ML; Strong open-source/GitHub activity.
CAND_0067866,49,139.1523,Senior Software Engineer (ML). Strong semantic fit (0.55) to retrieval/ranking systems; Ideal 6.4 YoE in applied ML; High Hunt-Mode momentum.
CAND_0099347,50,138.6339,Computer Vision Engineer. Strong semantic fit (0.49) to retrieval/ranking systems; 3.5 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0018722,51,138.4170,Recommendation Systems Engineer. Strong semantic fit (0.68) to retrieval/ranking systems; Ideal 6.6 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0080534,52,137.9855,ML Engineer. Strong semantic fit (0.61) to retrieval/ranking systems; 3.8 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0020991,53,137.8593,Junior ML Engineer. Strong semantic fit (0.57) to retrieval/ranking systems; 4.9 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0086893,54,137.7807,ML Engineer. Strong semantic fit (0.67) to retrieval/ranking systems; 3.9 YoE; High Hunt-Mode momentum.
CAND_0054100,55,137.7577,Junior ML Engineer. Strong semantic fit (0.57) to retrieval/ranking systems; Ideal 6.0 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0082489,56,137.4735,ML Engineer. Strong semantic fit (0.64) to retrieval/ranking systems; Ideal 5.3 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity; Warning: Passive candidate (inactive).
CAND_0099806,57,137.3900,AI Engineer. Strong semantic fit (0.64) to retrieval/ranking systems; 4.6 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0086154,58,137.1512,Data Scientist. Strong semantic fit (0.46) to retrieval/ranking systems; Ideal 6.8 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0002120,59,137.0926,ML Engineer. Strong semantic fit (0.61) to retrieval/ranking systems; Ideal 6.5 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0057736,60,137.0810,Computer Vision Engineer. Strong semantic fit (0.55) to retrieval/ranking systems; Ideal 6.2 YoE in applied ML; High Hunt-Mode momentum.
CAND_0002025,61,136.6785,Senior AI Engineer. Strong semantic fit (0.56) to retrieval/ranking systems; Ideal 5.9 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0012957,62,136.3564,Search Engineer. Strong semantic fit (0.69) to retrieval/ranking systems; 4.9 YoE; Strong open-source/GitHub activity.
CAND_0082086,63,136.2937,Senior Software Engineer (ML). Strong semantic fit (0.53) to retrieval/ranking systems; Ideal 6.0 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0094056,64,135.3570,NLP Engineer. Strong semantic fit (0.64) to retrieval/ranking systems; Ideal 5.9 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0032527,65,135.3059,Junior ML Engineer. Strong semantic fit (0.60) to retrieval/ranking systems; 3.9 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0055960,66,135.1907,AI Specialist. Strong semantic fit (0.55) to retrieval/ranking systems; 4.9 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0037794,67,134.8141,Senior Data Engineer. Strong semantic fit (0.43) to retrieval/ranking systems; Ideal 7.4 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0077498,68,134.6454,Senior Software Engineer (ML). Strong semantic fit (0.50) to retrieval/ranking systems; Ideal 5.4 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0084819,69,134.5371,Search Engineer. Strong semantic fit (0.69) to retrieval/ranking systems; 4.5 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0043693,70,133.9418,Data Engineer. Strong semantic fit (0.41) to retrieval/ranking systems; Ideal 6.7 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0062247,71,133.9066,AI Engineer. Strong semantic fit (0.66) to retrieval/ranking systems; Ideal 7.3 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0024990,72,133.2421,Junior ML Engineer. Strong semantic fit (0.53) to retrieval/ranking systems; Ideal 5.2 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0036437,73,132.1410,Search Engineer. Strong semantic fit (0.65) to retrieval/ranking systems; 4.8 YoE; High Hunt-Mode momentum.
CAND_0043860,74,131.8716,Junior ML Engineer. Strong semantic fit (0.59) to retrieval/ranking systems; Ideal 6.1 YoE in applied ML; High Hunt-Mode momentum.
CAND_0018549,75,131.5444,Recommendation Systems Engineer. Strong semantic fit (0.68) to retrieval/ranking systems; Ideal 6.8 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0064256,76,131.3019,Junior ML Engineer. Strong semantic fit (0.60) to retrieval/ranking systems; Ideal 6.4 YoE in applied ML; High Hunt-Mode momentum.
CAND_0061339,77,131.0280,Search Engineer. Strong semantic fit (0.66) to retrieval/ranking systems; 4.2 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0041610,78,130.6020,Recommendation Systems Engineer. Strong semantic fit (0.68) to retrieval/ranking systems; Ideal 6.7 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0015057,79,130.3553,ML Engineer. Strong semantic fit (0.55) to retrieval/ranking systems; 4.6 YoE; High Hunt-Mode momentum.
CAND_0043958,80,130.2685,AI Research Engineer. Strong semantic fit (0.61) to retrieval/ranking systems; Ideal 6.7 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0001056,81,130.0688,Computer Vision Engineer. Strong semantic fit (0.59) to retrieval/ranking systems; Ideal 5.1 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0005260,82,129.6078,Senior NLP Engineer. Strong semantic fit (0.54) to retrieval/ranking systems; Ideal 5.2 YoE in applied ML; High Hunt-Mode momentum.
CAND_0011162,83,129.5017,Recommendation Systems Engineer. Strong semantic fit (0.61) to retrieval/ranking systems; Ideal 5.8 YoE in applied ML; High Hunt-Mode momentum.
CAND_0018888,84,129.3234,AI Research Engineer. Strong semantic fit (0.54) to retrieval/ranking systems; Ideal 6.5 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0081480,85,129.1056,Computer Vision Engineer. Strong semantic fit (0.48) to retrieval/ranking systems; Ideal 5.6 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0031143,86,129.0917,ML Engineer. Strong semantic fit (0.50) to retrieval/ranking systems; Ideal 5.5 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0025640,87,128.9879,AI Research Engineer. Strong semantic fit (0.58) to retrieval/ranking systems; Ideal 5.6 YoE in applied ML; High Hunt-Mode momentum.
CAND_0077956,88,128.9724,Computer Vision Engineer. Strong semantic fit (0.53) to retrieval/ranking systems; Ideal 6.4 YoE in applied ML; High Hunt-Mode momentum.
CAND_0035987,89,128.9100,Senior Data Engineer. Strong semantic fit (0.45) to retrieval/ranking systems; Ideal 5.8 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0019845,90,128.7830,AI Specialist. Strong semantic fit (0.59) to retrieval/ranking systems; 3.4 YoE; High Hunt-Mode momentum.
CAND_0043384,91,128.2468,Computer Vision Engineer. Strong semantic fit (0.45) to retrieval/ranking systems; Ideal 5.2 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0025882,92,128.2321,Senior Software Engineer (ML). Strong semantic fit (0.58) to retrieval/ranking systems; Ideal 5.6 YoE in applied ML; High Hunt-Mode momentum.
CAND_0064888,93,128.0248,ML Engineer. Strong semantic fit (0.50) to retrieval/ranking systems; Ideal 5.8 YoE in applied ML; High Hunt-Mode momentum.
CAND_0070525,94,127.8740,Senior Software Engineer (ML). Strong semantic fit (0.55) to retrieval/ranking systems; Ideal 5.4 YoE in applied ML; High Hunt-Mode momentum.
CAND_0031757,95,127.7910,Senior Data Engineer. Strong semantic fit (0.43) to retrieval/ranking systems; Ideal 6.3 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0020954,96,127.7142,Senior Software Engineer. Strong semantic fit (0.41) to retrieval/ranking systems; Ideal 7.1 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0098454,97,127.6137,AI Specialist. Strong semantic fit (0.53) to retrieval/ranking systems; Ideal 6.6 YoE in applied ML; High Hunt-Mode momentum.
CAND_0038206,98,127.3381,Data Scientist. Strong semantic fit (0.55) to retrieval/ranking systems; 3.5 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0029367,99,127.1986,Senior Data Scientist. Strong semantic fit (0.63) to retrieval/ranking systems; Ideal 5.7 YoE in applied ML; High Hunt-Mode momentum.
CAND_0065786,100,127.1518,AI Specialist. Strong semantic fit (0.56) to retrieval/ranking systems; 4.9 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
